SR_NUMBER,SERVICE_ACTIVITY,RNSN,QUANTITY_REQUIRED,PARTS_CHARGE,DOCUMENT_NUMBER
sr_number_udeNjZc-AitxQZgGfMVY,Issue from Inventory,rnsn_V0fQc9FnoulzOD1_ZmSS,1.0,55.29,null
sr_number_Dehi-M6AcU-3YdFL7VZm,Issue from Inventory,rnsn_CT6sBr2XqFCN-QrVnbFB,1.0,1.78,null
sr_number_MZXL8ZUKf5yHM4AgZwm9,Issue from Inventory,rnsn_q6CvOwN77WKclNIWimtI,1.0,0.34,null
sr_number_2yqs-zRdARmnDm4sBJ9v,Issue from Inventory,rnsn_-Y69ZZSR_lVa8x9E_4bK,1.0,1556.8,null
sr_number_2D33N_zr51iBf6tBr2vG,SECREP Exchange,rnsn_GnVvxxboY87gKBgsfSgy,1.0,9525.4,document_number_I-3hviJmBFofsHtgJw9M
sr_number_ThYRrDyF47FmNZUA7E1Q,Issue from Inventory,rnsn_OWW9zh1679j58vd5bLVG,1.0,9.38,null
sr_number_YaAZ-mlxaUnlO7JmGTv2,Issue from Inventory,rnsn_hddMxmseW7fJZZlma_wD,7.0,0.26,null
sr_number_ecS8jjw9EYojkYmc07Fo,Issue from Inventory,rnsn_728ztLsMUVUgYDb4QpBQ,1.0,166.0,null
sr_number_pnvKPUQ0sacTjETa5NWC,Issue from Inventory,rnsn_605wufXUsqkc6xogELPo,1.0,0.28,null
sr_number_sOkDCjWF12ICwvHEI1xm,Issue from Inventory,rnsn_cWB-DLnpG_5l3xeeRQdv,1.0,16.57,null
sr_number_ZDZ6EAGYltz839SF2HAO,Issue from Inventory,rnsn_gQKWOdzJBpO5M7T5LobG,3.0,4.59,null
sr_number_CVwfSMuKNmHW-J54yWm7,null,rnsn_V4clZN207LArxACwcTnx,1.0,null,document_number_sN33GSgfdRQI9wq6wRsR
sr_number_lKZJbocVXNZj3u6uRtzf,Issue from Inventory,rnsn_JCDDjnWSofT-qwLxj_AN,1.0,91.68,null
sr_number_RJpT3iZDWUl-pvzJfU16,Issue from Inventory,rnsn_V0fQc9FnoulzOD1_ZmSS,1.0,55.29,null
sr_number_Dehi-M6AcU-3YdFL7VZm,Issue from Inventory,rnsn_Qy0D5WBjb00oZWPi2TuF,1.0,1.58,null
sr_number_XTYMDGgRsFk6FArQA5Ec,Issue from Inventory,rnsn_728ztLsMUVUgYDb4QpBQ,1.0,166.0,null
sr_number_4p0UaIcA7jRBtAfxn5Hc,Issue from Inventory,rnsn_V0fQc9FnoulzOD1_ZmSS,1.0,55.29,null
sr_number_-fJeye9nrS-qSW_GzEv1,Issue from Inventory,rnsn_6zHmyS9zbMxjMyyCHzQS,1.0,6296.32,null
sr_number_6Pt90lkA8wf1a36I0cwc,Return to Inventory,rnsn_n-rVsV6vvXCSEsS0rZj8,1.0,1091.39,null
sr_number_YaAZ-mlxaUnlO7JmGTv2,Issue from Inventory,rnsn_XCiu0_rehmR47IAQEaoR,4.0,2.41,null
sr_number_kIPCtGZiSPRivZ-V-Z9y,Issue from Inventory,rnsn_pcQ1muev9zvKxCFOcVtu,1.0,203.91,null
sr_number_MPVSrzZWvp8QHT3yT_PT,Issue from Inventory,rnsn_cZg8E7BRJXyTmV2QeAf1,1.0,45.33,null
sr_number_XAXqYDLwso42F_-JiZR-,Issue from Inventory,rnsn_K-boxw4h3ryOJLoN_MrO,1.0,3.12,null
sr_number_KeQErngjFRBtdmRpD_QF,Issue from Inventory,rnsn_qCtDRblwpL2YQJcx_Pq_,1.0,39313.95,null
sr_number_2KluOfPttp3KZpNT6cDL,Issue from Inventory,rnsn_A1p2d_qp5qRYhtJFImo2,1.0,61.69,null
sr_number_2KluOfPttp3KZpNT6cDL,Issue from Inventory,rnsn_afy2aeZGSrNxfrkZlwmB,1.0,48.73,null
sr_number_ecS8jjw9EYojkYmc07Fo,Issue from Inventory,rnsn_TOc0_AUxViC8Z5_s-s2L,1.0,0.37,null
sr_number_TVwpCFv395I4or-nrJK3,null,rnsn_V0fQc9FnoulzOD1_ZmSS,1.0,null,document_number_YH85N3xP8-1FP0c-Ph7a
sr_number_jo9332SGOUSxy05dfAHf,null,rnsn_EnugVed3LX0m-vUcShHb,1.0,null,document_number_FkNBVz2DLLNq0LzotN2-
sr_number_MZXL8ZUKf5yHM4AgZwm9,Issue from Inventory,rnsn_qHmAcrlsdXpBCngeoBBD,1.0,0.72,null
sr_number_Dehi-M6AcU-3YdFL7VZm,Issue from Inventory,rnsn_jnlH9n10NRElEH4GpVaa,0.01,0.98,null
sr_number_MZXL8ZUKf5yHM4AgZwm9,Issue from Inventory,rnsn_YfKpPTK7Js_xS8FEguBH,1.0,16.15,null
sr_number_2KluOfPttp3KZpNT6cDL,Issue from Inventory,rnsn_afy2aeZGSrNxfrkZlwmB,1.0,48.73,null
sr_number_bvElhcrDUGGrJx3QcD7o,Issue from Inventory,rnsn_VOZEKm16kgm3jwl1PtK4,1.0,4.47,null
sr_number_8gI4QLjT24sTlY3y6ITw,null,rnsn_FOKWs6qoVYmdLiDScHQO,1.0,null,document_number_tEANJeXl9H9h1zwG4xIY
sr_number_OBNUH_yqVtOVkJGiTrDS,Issue from Inventory,rnsn_9qvyC6gaI8ti_4UOdNiZ,1.0,20270.0,null
