"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS"
"SERVICE_REQUEST_TYPE","VARCHAR2(25 BYTE)","Yes","",1,"Type of serveice request submitted."
"SR_NUMBER","VARCHAR2(30 BYTE)","Yes","",2,"THE SERVICE REQUEST NUMBER ASSIGNED IN GCSS"
"JOB_STATUS_CODE","VARCHAR2(30 BYTE)","Yes","",3,"STATUS OF THE SR"
"DEFECT_CODE","VARCHAR2(25 BYTE)","Yes","",4,"PROBLEM_CODE and dff attribute1  Primary defect code of equipment in maintenance."
"OPERATIONAL_STATUS","VARCHAR2(30 BYTE)","Yes","",5,"THE OPERATIONAL STATUS OF THE NSN IN MAINTENANCE (E.G. DEADLINED, OP-DEGRADABLE, OP-MINOR)"
"PROBLEM_SUMMARY","VARCHAR2(400 BYTE)","Yes","",6,"A SUMMARY OF THE PROBLEM FOR WHICH THE SERVICE REQUEST WAS CREATED"
"DATE_RECEIVED_IN_SHOP","DATE","Yes","",7," Date Received in Shop (DRIS) is is the date stamp service request was placed in a status of  EQUIP ACCEPTED."
"ECHELON_OF_MAINT","VARCHAR2(5 BYTE)","Yes","",8,"The Echelon of Maintenance at which the holder of the equipment is performing the repairs."
"NSN_IN_MAINTENANCE","VARCHAR2(15 BYTE)","Yes","",9,"National Stock Number of the item in maintenance"
"SERIAL_NUMBER","VARCHAR2(30 BYTE)","Yes","",10,"A number assigned to an item of equipment to distinguish it from all other items of the same equipment types."
"QUANTITY_INDUCTED","NUMBER","Yes","",11,"TOTAL NUMBER OF ITEMS SUBMITTED TO MAINTENANCE"
"UNIT_ISSUE_CODE","VARCHAR2(2 BYTE)","Yes","",12,"A CODE USED TO INDICATE WHAT UNIT OF MEASURE THE ITEM IS ISSUED BY (e.g. BOX, EA, PK)"
