"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS"
"SR_NUMBER","VARCHAR2(30 BYTE)","Yes","",1,"THE SERVICE REQUEST NUMBER ASSIGNED IN GCSS"
"TASK_NUMBER","VARCHAR2(30 BYTE)","Yes","",2,"THE TASK NUMBER ASSIGNED WITHIN A SERVICE REQUEST IN GCSS"
"SERVICE_ACTIVITY","VARCHAR2(30 BYTE)","Yes","",3,"Describes the applicable activity that is being conducted. Any record with Service Activity : GCSSMC-Labor and Record NIIN: Labor is a labor hours record."
"ORGANIZATION_CODE","VARCHAR2(3 BYTE)","Yes","",4,"ORG CODE THAT CURRENTLY HOLDS THE PURCHASE ORDER (PERTAINING TO EACH RECORD)"
"RNSN","VARCHAR2(15 BYTE)","Yes","",5,"RECORD NATIONAL STOCK NUMBER - UNIQUE IDENTIFYING STOCK NUMBER FOR ITEM THAT WAS REQUISITIONED"
"QUANTITY_REQUIRED","NUMBER","Yes","",6,"QUANTITY OF REQUISITION ITEM REQUIRED TO FULFILL SERVICE REQUEST OBLIGATIONS"
"DEMAND_CODE","VARCHAR2(250 BYTE)","Yes","",7,"1. Indicates to the management element of a distribution system whether the demand on an item is anticipated to be recurring or non-recurring. 2. Originators of requisitions enter the appropriate Demand Code."
"SIGNAL_CODE","VARCHAR2(250 BYTE)","Yes","",8,"1. Designates the fields that contain the intended consignee (Ship To) and the Activity (Bill To) to receive the bills and effect payment when applicable.2. Requisitions will cite the Signal Codes which indicate whether the Requisitioner (RP 30-35), the Supplemental Addressee (RP 45-50) or the Fund Code (RP 52-530 is to be used to find the Bill-To address. Marine Corps activities are authorized to use Signal Codes E and N which indicates the Bill-To address is in the remarks field.3. When ASA Signal Code is cited and the item is SFA, the requisition will be rejected citing Status Code CM. If SFA Signal Code is cited and the item is ASA, status BN will be furnished, the Signal Code changed to W or X as appropriate, and supply action continued.4. Identifies where requested material is to be shipped and who is to be billed for funded items. This information will be provided to the Source of Supply on requisitions and due-out details."
"PARTS_CHARGE","NUMBER","Yes","",9,"The accumulated parts charge for all parts obtained from any source for and ERO."
"DOCUMENT_NUMBER","VARCHAR2(15 BYTE)","Yes","",10,"1. Used to identify the Document during the entire processing cycle. It is comprised of either a standard DoD document number (DOCUMENT-NUM), a FEDSTRIP agency document number (DOCUMENT-NUM-FEDSTRIP), or a Foreign Military Sales/Military Assistance Program document number (DOCUMENT-NUM-FMS-MAP).2. MAARS-description: the Document Number is constructed in MILSTRIP format and used by all activities for all inputs. The first six positions are the DoD Activity Address Code (DODAAC), the next four positions are the year and Julian date, and the last four positions are the Activity Serial Number.3. A 14-digit reference number assigned to a requisition or a release/receipt document in order to identify the transaction throughout the logistics system until retirement of the document is authorized in official reports of audit."
"STATUS_DATE","DATE","Yes","",11,"DATE THAT THE STATUS WAS POSTED"
"DATE_RECEIVED_CANCELLED","DATE","Yes","",12,"THE DATE THAT THE DOCUMENT WAS RECEIPTED WITH DRA OR CANCELLED"
"SUPP_STATUS_DIC","VARCHAR2(250 BYTE)","Yes","",13,"TRANSACTION_TYPE /  DOCUMENT_IDENTIFIER  Document Identifier Code for the Supply Status."
"LAST_UPDATE_DATE","DATE","Yes","",14,"LAST_UPDATE_DATE (of the item record) "
"FILE_ID","NUMBER","Yes","",15,"THIS IS THE FILE IMPORT TRACKING NUMBER WHICH IS ASSIGNED TO EVERY DATA IMPORT FILE LOADED INTO THE MASTER DATA REPOSITORY."
"LEGACY_FILE_DTTM","DATE","Yes","",16,"THIS IS THE LEGACY FILE SYSTEM DATE USED FOR TRACKING PURPOSES IN THE MASTER DATA REPOSITORY."
"ORACLE_REPLC_DTTM","TIMESTAMP(6)","Yes","",17,"THIS IS THE ORACLE REPLICATION TIMESTAMP INDICATING THE DATE AND TIME THE ROW WAS INSERTED INTO THE LCMI TABLE."
"REQUIREMENT_NUMBER","VARCHAR2(20 BYTE)","Yes","",18,"Identifies the Part Requirement which generated the demand."
"SERIAL_NUMBER","VARCHAR2(30 BYTE)","Yes","",19,"A number assigned to an item of equipment to distinguish it from all other items of the same equipment types."
"REPLACEMENT_SDN","VARCHAR2(15 BYTE)","Yes","",20,"New Standard Document number for material"
"SALES_ORDER_NUMBER","VARCHAR2(20 BYTE)","Yes","",21,"Sales order of the transaction (as applicable)"
"MAT_TRANS_ID_NUM","NUMBER","Yes","",22,"TRANSACTION ID NUMBER THAT WAS AUTOMATICALLY CREATED BY GCSS-MC"
"TRANS_LAST_UPDATE","DATE","Yes","",23,"LATEST DATE ASSOCIATED WITH THE TRANSACTION"
"UNIT_OF_ISSUE","VARCHAR2(3 BYTE)","Yes","",24,"Code indicating the physical measurement of material or repair part."
"NIIN","VARCHAR2(9 BYTE)","Yes","",25,"The NIIN is the last nine digits of the NSN that differentiates each individual supply item from all other supply items. The first two digits signify the National Codification Bureau that assigned the NIIN, while the last seven digits are non-significant and are sequentially assigned by the FLIS."
